method,eval_id,feasible,violation,composite,shock_FEDFUNDS,shock_USGOVT,shock_BOGMBASE,shock_NONBORRES,delta_BAAFFM_T,delta_CPI_YOY,delta_UNRATE_L,loss_BAAFFM_T,loss_CPI_YOY,loss_UNRATE_L,w0,w1,w2
RandomSearch,127,0,1.0,0.9909249637378943,0.15719069523375095,700.0807931361926,-0.04648407331478034,-75.9596744966193,-0.8280358236733236,-0.3020425467955259,-0.2711328547929357,0.1564657028738239,0.08644239003032606,0.10859498049568561,,,
RandomSearch,128,1,0.0,0.6891861516451082,-0.1894299078387467,-938.1997598918842,-0.0022030373803511374,171.28530368491704,-0.11345880369025352,-0.07197839538017359,0.00469699572337845,0.871042722856894,0.14362176138502625,0.16723487002062853,,,
RandomSearch,129,0,1.0,0.4455052026986519,-1.2577548329589048,1186.970740440293,-0.029999771591111293,280.3637291886894,0.26912510433382053,-0.3509471273335103,-0.1611005502058349,1.253626630880968,0.13534697056831047,0.0014373240914151708,,,
RandomSearch,130,1,0.0,0.7973752209289396,-1.9034921419183042,24.792114996510236,-0.043848481286927005,-144.05848929826098,-0.3784251781269101,-0.15026631460804118,0.029382187202298127,0.6060763484202374,0.06533384215715865,0.1919200614995482,,,
RandomSearch,131,1,0.0,0.4361937371418603,2.028151702526971,262.96179833671295,0.03905600048286538,-8.088698326249187,-0.9892693986417287,0.43089655550967443,-0.2415801634011201,0.0047678720945811826,0.6464967122748743,0.07904228910387001,,,
RandomSearch,132,1,0.0,0.0003528555697816753,-1.4556127159520165,-1015.7030764671794,0.0028881134987434193,292.9618991576896,0.4259823407480461,0.09780561922155684,0.014143246431711276,1.4104838672951936,0.3134057759867567,0.17668112072896136,,,
RandomSearch,133,0,2.0,0.9377710966689171,2.927767238360871,603.725427499827,-0.04301698969529491,-227.8401489943937,-1.0663135398900576,-0.015292081642835686,-0.18172880317708096,0.0818120133429101,0.20030807512236415,0.01919092887983087,,,
RandomSearch,134,1,0.0,0.34853830315285067,1.1639709753334522,212.1911023743105,0.041047424972862165,-12.39374113660375,-0.9714867003521728,0.4581501163216286,-0.2414681311264646,0.013014826194974738,0.6737502730868284,0.0789302568292145,,,
RandomSearch,135,1,0.0,0.000286692132914935,-0.6178031050632646,-911.928974778443,0.025200141618964333,284.66503791084256,0.2195519458037083,0.515212725258059,0.05127555471856393,1.2040534723508558,0.7308128820232588,0.21381342901581402,,,
RandomSearch,136,1,0.0,0.3260031121721165,1.6426285041423156,-812.9908779374093,0.011718889320863304,279.48146197209974,-0.9457730016614581,0.44994981463859984,0.048420931879764595,0.03872852488568945,0.6655499714037997,0.21095880617701468,,,
RandomSearch,137,1,0.0,0.9696989570124788,0.3905873576184584,-1106.1982125836655,-0.02285092328970516,110.79581660182964,-0.8728950294612194,-0.12191838517999232,-0.03463789423654262,0.11160649708592807,0.09368177158520752,0.12789998006070746,,,
RandomSearch,138,1,0.0,2.413693109501428e-07,-1.3713534804842542,-360.15591568208254,0.04800509979812155,-258.77162726427025,1.0715247294113315,0.5136552681216129,0.07224616635514991,2.056026255958479,0.7292554248868127,0.2347840406524,,,
RandomSearch,139,1,0.0,0.9871364969581785,0.18196477594592242,357.3884270793517,-0.028773981106653936,216.72340410500908,-0.7243591176684521,-0.3373031456790332,-0.16464643786396493,0.26014240887869544,0.12170298891383335,0.0021085635667148495,,,
RandomSearch,140,1,0.0,0.4526218231262384,-1.1385591018571766,235.99413127086405,-0.04624646434993965,349.7809988915485,0.2643544264833455,-0.3479761053681627,-0.16531880535648558,1.248855953030493,0.13237594860296287,0.002780931059235492,,,
RandomSearch,141,1,0.0,0.42009700490841234,0.6355411861886746,-626.7290675807282,-0.036472804859991506,-321.55985535157714,-0.9571180379716924,0.41818802411472555,0.022826424769604614,0.02738348857545514,0.6337881808799254,0.1853642990668547,,,
RandomSearch,142,0,1.0,0.8881629000550872,-0.6657204267547594,821.6163541598678,-0.02515714672181535,307.63860888738463,-0.3971910360021398,-0.3473363963744436,-0.1620912120600737,0.5873104905450077,0.13173623960924374,0.0004466622371763762,,,
RandomSearch,143,0,1.0,0.9274373655591365,2.9618531772976295,177.85716655749866,-0.03832563883777408,-111.6061462450478,-1.1125059251436555,-0.0827137203280075,-0.31071745888772284,0.12800439859650803,0.13288643643719233,0.14817958459047276,,,
RandomSearch,144,1,0.0,0.26301955140258876,1.5195906896469626,-304.4587650530642,0.015029103248110465,133.24430958448409,-0.9717161446883211,0.46750742377939236,0.05008667967992242,0.012785381858826383,0.6831075805445922,0.2126245539771725,,,
RandomSearch,145,1,0.0,0.327990116948544,-1.1534451973406656,-493.84326184740814,0.015624550842835011,7.720658928204273,0.2793064895335329,0.07292842806251487,0.05548079576909526,1.2638080160806804,0.2885285848277147,0.21801867006634534,,,
RandomSearch,146,1,0.0,0.0004941099615285437,0.529790339967839,-910.3074640548998,0.04032409817018344,-329.5578223212345,-0.36428226682565024,0.607294349986021,0.05277246098852473,0.6202192597214973,0.8228945067512209,0.2153103352857748,,,
RandomSearch,147,1,0.0,0.0005773960989623473,1.7557362789389166,-499.68325864186795,0.02702161314948133,-130.68039807699105,-0.973565476298567,0.6301991933293207,0.029308859910952556,0.010936050248580464,0.8457993500945206,0.19184673420820264,,,
RandomSearch,148,1,0.0,0.295935135586796,2.020915702509628,285.675188179958,0.04626169555221586,150.7706634176419,-0.9684906747645057,0.46955447967982167,-0.12938615728150094,0.016010851782641833,0.6851546364450215,0.03315171701574915,,,
RandomSearch,149,1,0.0,0.0005594857483450873,2.4863144260735828,-354.4086205357369,0.020208131995763906,130.9409633749966,-0.9743428962209566,0.530122300934873,0.04787375565371921,0.01015863032619091,0.7457224577000728,0.2104116299509693,,,
RandomSearch,150,1,0.0,0.0004525197653053765,-0.9675584258429086,635.8125668524438,0.004354528239758258,291.9287776150194,0.950328238636156,-0.15585858073853798,-0.1369566134193656,1.9348297651833035,0.05974157602666186,0.025581260877884482,,,
RandomSearch,151,1,0.0,0.984564723778477,0.5531944072898338,885.1685070042668,-0.019018190948014414,-103.26866361209233,-1.0134211116718221,-0.12376753370427318,-0.27703380803661304,0.02891958512467463,0.09183262306092665,0.11449593373936295,,,
RandomSearch,152,1,0.0,0.7032140224405563,0.7812231508080427,-1029.8061587317573,-0.0062790010023379556,274.2868113940606,-0.7566718659996607,0.2417190705633656,-0.03066135961492833,0.22782966054748677,0.45731922732856545,0.13187651468232175,,,
RandomSearch,153,1,0.0,0.0006496341989431603,1.2904799727258842,1044.197891840287,0.0420957721271417,-277.4924399350032,-0.8752501900198721,0.5939110559715615,-0.12682641966328045,0.10925133652727537,0.8095112127367613,0.03571145463396963,,,
RandomSearch,154,1,0.0,0.6518716674372884,-0.7149378263575055,572.5654448293776,-0.005425752063735037,204.32402904848288,0.06667420538807267,-0.30173418364853766,-0.1464707884921177,1.0511757319352202,0.08613402688333782,0.016067085805132386,,,
RandomSearch,155,1,0.0,0.9868272288765243,0.3991646741639965,-732.4202631003135,-0.021488137530515497,41.089501585950245,-0.8755993549638919,-0.11870372656263672,-0.05012954904291167,0.10890217158325566,0.09689643020256311,0.11240832525433841,,,
RandomSearch,156,1,0.0,0.36371377603050453,2.443397705821085,-1146.436553688344,0.0010132500723413554,40.51982287928092,-1.0486560425439104,0.4485314271634886,-0.015899844446926714,0.06415451599676292,0.6641315839286884,0.14663802985032337,,,
RandomSearch,157,1,0.0,0.8396324090066435,2.566521338523124,-1073.1004596950952,-0.009913568076645438,147.76197058032363,-1.0768178045618932,0.08557923080817131,-0.03401264193657649,0.09231627801474573,0.30117938757337115,0.1285252323606736,,,
RandomSearch,158,1,0.0,0.8641219668616642,-0.9831967579529637,394.0894407767555,-0.02441273304371886,20.88245038460815,-0.3422452916902512,-0.3405220402111613,-0.2671555056247916,0.6422562348568963,0.12492188344596145,0.10461763132754154,,,
RandomSearch,159,1,0.0,0.0005901147314809912,0.7538475006316605,-944.9744574101089,0.0045312022808364355,-4.055742455357404,-0.8861365418763301,0.493669191869369,0.015165902626315564,0.09836498467081745,0.7092693486345688,0.17770377692356565,,,
RandomSearch,160,1,0.0,0.0002947271147650843,-0.9289912087828927,-1166.3145695860205,0.028587038500619708,-30.890861514867993,0.21027072118633772,0.5203973704548814,0.04669074093399672,1.1947722477334852,0.7359975272200813,0.2092286152312468,,,
RandomSearch,161,1,0.0,0.8541565271527565,0.4673835108200004,-309.63124874045764,-0.013630447234293679,47.36869273171209,-0.8640421293248086,0.08781726779167753,-0.050935048274417305,0.1204593972223389,0.30341742455687737,0.11160282602283278,,,
RandomSearch,162,1,0.0,0.2649027428043347,0.7696776657446041,-343.78425995369525,0.008132080127790556,-98.14123517461556,-0.8670210169227213,0.47002232644902975,0.019205963318788655,0.11748050962442624,0.6856224832142296,0.18174383761603874,,,
RandomSearch,163,1,0.0,0.9143462491323622,0.20990179031555822,-333.9877265142701,-0.04749246941480885,-303.05097028502297,-0.774074572530679,-0.08271067218663486,-0.0035138415207329743,0.2104269540164685,0.13288948457856498,0.1590240327765171,,,
RandomSearch,164,0,1.0,0.9777313546353051,2.5535525525424303,-62.04315054733797,-0.03606711463485314,93.77288384271503,-1.1070719632851325,-0.11728143231477928,-0.04181344750017146,0.12257043673798496,0.09831872445042056,0.12072442679707862,,,
RandomSearch,165,1,0.0,0.8364764093744272,2.2024833762354943,-353.88094752804477,-0.008158375401623383,291.6674448125714,-1.0533370226571859,0.08895003154065506,-0.03333497867462665,0.06883549611003836,0.3045501883058549,0.12920289562262344,,,
RandomSearch,166,1,0.0,0.6899230826813116,2.6358206816939838,783.4186866210437,-0.004163307563322539,-103.81905716955285,-1.0597693901131717,0.269296013416068,-0.2743893990676449,0.07526786356602422,0.48489617018126785,0.11185152477039484,,,
RandomSearch,167,1,0.0,0.8823525564272925,-1.6978743430768388,518.2551730734608,-0.03023956148441419,182.377726459212,-0.38241016004123285,-0.34660777610208027,-0.16128789161287926,0.6020913665059147,0.13100761933688043,0.0012499826843708206,,,
RandomSearch,168,1,0.0,0.417473257905489,2.3007209201649648,-8.43702736736418,0.010648650587227318,90.86391932241207,-0.9423576404974612,0.4165971018205279,0.0317450034439517,0.04214388604968633,0.6321972585857277,0.1942828777412018,,,
RandomSearch,169,1,0.0,0.9259971476155917,-0.6869863317425744,-469.19846317407405,-0.018872973589365228,99.8591803090743,-0.6899744271633788,-0.2956476749893835,0.0017309026141001382,0.29452709938376875,0.08004751822418366,0.16426877691135022,,,
RandomSearch,170,0,1.0,0.6227597372004224,2.2662779579119725,588.6928552388131,0.011645458300264436,-288.1896596157131,-0.8803092657285712,0.3278571272899464,-0.05753049423437506,0.10419226081857635,0.5434572840551463,0.10500738006287502,,,
RandomSearch,171,1,0.0,0.5283710566037134,-0.12781601998731174,-118.98516989036398,0.018868073284837167,223.41824485078143,-0.053207803076235294,0.10799506211892584,0.055082970116796304,0.9312937234709122,0.3235952188841257,0.2176208444140464,,,
RandomSearch,172,1,0.0,0.7704941474286113,0.3604430922431314,740.4283235739865,-0.00421483047203227,-177.14445322720428,-0.7194721761832059,0.19942563676378766,-0.21699264509194816,0.2650293503639416,0.4150257935289875,0.05445477079469807,,,
