method,eval_id,feasible,violation,composite,shock_FEDFUNDS,shock_USGOVT,shock_BOGMBASE,shock_NONBORRES,delta_BAAFFM_T,delta_CPI_YOY,delta_UNRATE_L,loss_BAAFFM_T,loss_CPI_YOY,loss_UNRATE_L
RandomSearch,13,1,0.0,1.0,0.29099924062927585,658.8655468469005,-0.0465105679342674,101.22463307717663,-0.8500921892404536,-0.15253594922606295,-0.16726294853071,0.1344093373066939,0.06306420753913689,0.004725074233459914
RandomSearch,14,0,1.0,0.0005482186781177996,2.9015166464080053,-1086.2812921633465,0.04076498213513692,-240.95514463841982,-0.9161270990504735,0.6300579413132481,0.05877495067160421,0.068374427496674,0.8456580980784479,0.2213128249688543
RandomSearch,15,1,0.0,0.8763583443361954,1.3762435395283337,-1139.3329890013713,-0.04385344084985091,-255.71234066779826,-1.0482115457802599,-0.06659026885853958,0.0191390318793232,0.06371001923311237,0.14900988790666025,0.18167690617657328
RandomSearch,16,1,0.0,0.9940427972390804,2.5066147913297767,678.9334529110479,0.01617883437051537,104.61978946047185,-0.9637587984325449,-0.10548559744798114,-0.12978007435765093,0.02074272811460265,0.1101145593172187,0.03275779993959915
RandomSearch,17,1,0.0,0.5359279805897444,-0.5311952684666204,67.45268901999316,-0.0018131465170838287,315.7803917447443,0.17536684602289654,-0.1245447668228552,-0.02233849684123168,1.159868372570044,0.09105538994234463,0.1401993774560184
RandomSearch,18,1,0.0,0.9987458087261268,0.27102048797515943,592.6163369485278,-0.014134690563640896,297.7974656497039,-0.7121892500912259,-0.11346153875331932,-0.16420439937107378,0.2723122764559216,0.10213861801188051,0.0016665250738236992
RandomSearch,19,0,2.0,1.0,2.2618616044298765,1180.52573648083,-0.027295737136736643,259.26959051869346,-1.0418287646127569,-0.13906533955626044,-0.15746994099074296,0.057327238065609354,0.0765348172089394,0.005067933306507122
RandomSearch,20,1,0.0,0.0002521696581365324,0.3849517914184384,22.517074081930787,0.004179809704652149,-285.71170840215416,0.14697420081104795,0.49385843422391584,0.1421576207499804,1.1314757273581955,0.7094585909891157,0.3046954950472305
RandomSearch,21,0,1.0,1.0,2.4053888211970715,250.54807743439756,-0.039469348283198404,167.3399636484188,-1.0931374374096685,-0.13904490412959003,-0.172906789476861,0.108635910862521,0.0765552526356098,0.010368915179610916
RandomSearch,22,1,0.0,0.0003207646998581647,-1.4328245889377342,-285.0041877749941,0.01695266462551584,-24.316359920964373,0.41093755116349584,0.12511352424414213,0.055943512541348106,1.3954390777106433,0.34071368100934196,0.2184813868385982
